"","tm","attendance","attend_per_game","batage","page","bpf","ppf","n_hof","n_aallstars","n_a_ta_s","est_payroll","time","managers","year","g","w","wins_losses"
"85","CHW",1175684,15269,"30.0","30.8","102","99","2","5","18",NA,"2:35","Marion",1955,155,91,0.591
"86","CIN",693662,9009,"27.8","28.4","105","104","0","3","11",NA,"2:28","Tebbetts",1955,154,75,0.487
"87","CLE",1221780,15867,"30.5","29.8","104","101","6","6","27",240000,"2:37","Lopez",1955,154,93,0.604
"88","DET",1181838,15349,"26.8","27.0","98","98","2","3","11",NA,"2:32","Harris",1955,154,79,0.513
"89","KCA",1393054,18330,"28.7","28.1","100","105","1","2","12",NA,"2:31","Boudreau",1955,155,63,0.409
"90","MLN",2005836,26050,"27.2","27.2","96","93","3","5","14",NA,"2:30","Grimm",1955,154,85,0.552
"91","NYG",824112,10432,"28.6","29.7","101","101","3","2","13",216000,"2:35","Durocher",1955,154,80,0.519
"92","NYY",1490138,19352,"28.0","27.5","99","95","5","4","24",NA,"2:40","Stengel",1955,154,96,0.623
"93","PHI",922886,11986,"28.9","28.6","98","98","2","3","12",NA,"2:32","Smith",1955,154,77,0.5
"94","PIT",469397,6259,"25.5","26.8","98","101","1","1","10",NA,"2:23","Haney",1955,154,60,0.39
"95","STL",849130,11028,"28.1","27.2","99","100","2","4","14",NA,"2:32","Stanky and Walker",1955,154,68,0.442
"96","WSH",425238,5523,"27.5","26.1","96","99","1","1","14",NA,"2:29","Dressen",1955,154,53,0.344
"97","BAL",901201,11704,"28.2","30.0","91","93","3","1","12",NA,"2:31","Richards",1956,154,69,0.448
"98","BOS",1137158,14579,"28.3","27.4","112","111","1","5","12",NA,"2:34","Higgins",1956,155,84,0.545
"99","BRO",1213562,15761,"31.0","28.2","109","106","7","4","20",NA,"2:32","Alston",1956,154,93,0.604
"100","CHC",720118,9001,"28.4","28.8","99","101","2","1","8",NA,"2:29","Hack",1956,157,60,0.39
"101","CHW",1000090,12988,"30.2","31.5","101","98","4","4","16",NA,"2:37","Marion",1956,154,85,0.552
"102","CIN",1125928,14622,"27.7","29.5","105","104","1","8","14",NA,"2:30","Tebbetts",1956,155,91,0.591
"103","CLE",865467,11240,"30.0","30.6","102","101","3","3","23",NA,"2:34","Lopez",1956,155,88,0.571
"104","DET",1051182,13477,"27.2","28.0","101","100","2","4","13",NA,"2:33","Harris",1956,155,82,0.532
"105","KCA",1015154,13184,"28.7","28.7","100","104","2","2","9",NA,"2:31","Boudreau",1956,154,52,0.338
"106","MLN",2046331,26576,"27.5","28.6","94","92","3","4","14",NA,"2:29","Grimm and Haney",1956,155,92,0.597
"107","NYG",629179,8171,"27.5","29.4","99","100","3","2","14",NA,"2:30","Rigney",1956,154,67,0.435
"108","NYY",1491784,19374,"28.1","26.4","97","93","5","6","26",222750,"2:42","Stengel",1956,154,97,0.63
"109","PHI",934798,12140,"29.5","28.5","98","98","2","2","13",NA,"2:31","Smith",1956,154,71,0.461
"110","PIT",949878,12178,"25.2","26.8","97","99","2","2","16",NA,"2:26","Bragan",1956,157,66,0.429
"111","STL",1029773,13202,"28.7","28.7","99","99","2","3","21",NA,"2:33","Hutchinson",1956,156,76,0.493
"112","WSH",431647,5606,"26.8","24.7","96","100","2","1","8",NA,"2:34","Dressen",1956,155,59,0.383
"113","BAL",1029581,13371,"29.1","29.9","93","94","3","3","14",NA,"2:31","Richards",1957,154,76,0.5
"114","BOS",1181087,15339,"29.0","26.9","106","105","1","2","11",NA,"2:32","Higgins",1957,154,82,0.532
"115","BRO",1028258,13354,"30.1","26.7","109","106","5","3","20",NA,"2:34","Alston",1957,154,84,0.545
"116","CHC",670629,8598,"27.7","26.4","99","100","1","1","7",NA,"2:40","Scheffing",1957,156,62,0.403
"117","CHW",1135668,14749,"30.0","30.9","101","99","3","3","14",NA,"2:37","Lopez",1957,155,90,0.584
"118","CIN",1070850,13907,"28.6","29.4","106","105","1","6","14",NA,"2:37","Tebbetts",1957,154,80,0.519
"119","CLE",722256,9380,"28.9","30.7","100","99","4","3","21",NA,"2:40","Farrell",1957,153,76,0.497
"120","DET",1272346,16524,"27.0","27.0","103","102","2","4","12",149900,"2:35","Tighe",1957,154,78,0.506
"121","KCA",901067,11702,"28.8","28.8","101","104","0","1","13",NA,"2:30","Boudreau and Craft",1957,154,59,0.386
"122","MLN",2215404,28403,"28.0","29.0","93","90","4","6","17",NA,"2:32","Haney",1957,155,95,0.617
"123","NYG",653923,8493,"29.4","27.7","100","101","2","2","14",NA,"2:31","Rigney",1957,154,69,0.448
"124","NYY",1497134,19443,"28.4","27.9","99","95","4","8","21",281500,"2:38","Stengel",1957,154,98,0.636
"125","PHI",1146230,14695,"28.1","28.1","97","98","2","2","12",NA,"2:32","Smith",1957,156,77,0.5
"126","PIT",850732,11048,"26.1","26.3","97","98","2","1","14",NA,"2:27","Bragan and Murtaugh",1957,155,62,0.403
"127","STL",1183575,15371,"28.4","27.5","102","102","2","4","17",NA,"2:37","Hutchinson",1957,154,87,0.565
"128","WSH",457079,5936,"28.4","25.5","98","102","2","1","9",NA,"2:30","Dressen and Lavagetto",1957,154,55,0.357
"129","BAL",829991,10641,"29.2","27.9","94","95","3","2","10",NA,"2:25","Richards",1958,154,74,0.484
"130","BOS",1077047,13988,"28.9","27.1","106","106","1","3","11",NA,"2:32","Higgins",1958,155,79,0.513
"131","CHC",979904,12726,"28.5","25.1","99","100","1","3","10",NA,"2:37","Scheffing",1958,154,72,0.468
"132","CHW",797451,10357,"29.5","32.4","99","97","3","5","22",NA,"2:37","Lopez",1958,155,82,0.532
"133","CIN",788582,10241,"29.6","30.4","106","106","1","2","17",NA,"2:31","Tebbetts and Dykes",1958,154,76,0.493
"134","CLE",663805,8734,"28.7","27.6","99","98","3","2","22",NA,"2:35","Bragan and Gordon",1958,153,77,0.503
"135","DET",1098924,14272,"27.5","27.2","107","107","2","2","14",NA,"2:31","Tighe and Norman",1958,154,77,0.5
"136","KCA",925090,11860,"28.4","28.9","102","104","1","1","15",NA,"2:29","Craft",1958,156,73,0.474
"137","LAD",1845556,23968,"29.0","25.2","104","105","4","2","21",324300,"2:34","Alston",1958,154,71,0.461
"138","MLN",1971101,25599,"28.7","29.9","92","90","4","6","17",NA,"2:27","Haney",1958,154,92,0.597
"139","NYY",1428438,18313,"28.0","29.1","96","94","4","9","21",343000,"2:35","Stengel",1958,155,92,0.597
"140","PHI",931110,12092,"29.1","28.0","99","101","2","2","11",NA,"2:34","Smith and Sawyer",1958,154,69,0.448
"141","PIT",1311988,17039,"26.5","27.1","98","98","2","4","13",NA,"2:28","Murtaugh",1958,154,84,0.545
"142","SFG",1272625,16528,"26.8","27.6","98","97","2","3","17",NA,"2:35","Rigney",1958,154,80,0.519
"143","STL",1063730,13815,"27.6","28.7","105","105","1","3","16",NA,"2:33","Hutchinson and Hack",1958,154,72,0.468
"144","WSH",475288,6093,"28.1","26.3","98","101","2","1","9",NA,"2:26","Lavagetto",1958,156,61,0.396
"145","BAL",891926,11435,"30.1","27.4","97","98","2","7","16",NA,"2:27","Richards",1959,155,74,0.48
"146","BOS",984102,12781,"29.1","26.7","104","104","1","6","13",NA,"2:42","Higgins, York and Jurges",1959,154,75,0.487
"147","CHC",858255,11146,"29.1","26.3","98","99","2","4","14",NA,"2:37","Scheffing",1959,155,74,0.48
"148","CHW",1423144,18245,"29.7","31.6","99","98","4","9","24",NA,"2:39","Lopez",1959,156,94,0.61
"149","CIN",801298,10406,"27.9","28.8","103","103","1","6","20",NA,"2:33","Smith and Hutchinson",1959,154,74,0.48
"150","CLE",1497976,19454,"28.6","27.1","97","96","0","7","16",NA,"2:37","Gordon",1959,154,89,0.578
"151","DET",1221221,15860,"28.8","28.4","106","105","3","5","14",NA,"2:31","Norman and Dykes",1959,154,76,0.493
"152","KCA",963683,12515,"28.6","28.6","102","104","2","3","14",NA,"2:30","Craft",1959,154,66,0.429
"153","LAD",2071045,26552,"28.2","25.9","107","107","3","6","19",392300,"2:41","Alston",1959,156,88,0.564
"154","MLN",1749112,22141,"29.5","30.2","91","89","5","11","21",NA,"2:33","Haney",1959,157,86,0.551
"155","NYY",1552030,20156,"28.4","28.4","96","94","4","14","18",411250,"2:41","Stengel",1959,155,79,0.513
"156","PHI",802815,10293,"28.9","27.4","101","103","3","2","10",NA,"2:28","Sawyer",1959,155,64,0.416
"157","PIT",1359917,17661,"27.9","28.8","98","97","2","8","15",NA,"2:31","Murtaugh",1959,155,78,0.506
"158","SFG",1422130,18469,"26.2","28.4","97","96","3","7","17",NA,"2:38","Rigney",1959,154,83,0.539
"159","STL",929953,12077,"28.2","26.0","106","107","2","12","19",NA,"2:35","Hemus",1959,154,71,0.461
"160","WSH",615372,7992,"27.0","26.9","100","102","1","7","11",NA,"2:30","Lavagetto",1959,154,63,0.409
"161","BAL",1187849,15427,"27.8","25.4","99","99","2","8","17",120500,"2:34","Richards",1960,154,89,0.578
"162","BOS",1129866,14674,"29.1","27.6","103","104","1","8","12",NA,"2:36","Jurges, Baker and Higgins",1960,154,65,0.422
"163","CHC",809770,10250,"28.1","24.5","98","100","4","2","16",NA,"2:40","Grimm and Boudreau",1960,156,60,0.39
"164","CHW",1644460,21357,"30.8","32.0","100","99","3","14","19",NA,"2:42","Lopez",1960,154,87,0.565
"165","CIN",663486,8617,"27.2","28.1","102","101","1","6","22",NA,"2:36","Hutchinson",1960,154,67,0.435
"166","CLE",950985,12350,"28.2","25.4","97","97","0","8","15",NA,"2:36","Gordon, White and Dykes",1960,154,76,0.493
"167","DET",1167669,15165,"28.7","28.8","104","103","2","4","15",NA,"2:42","Dykes, Hitchcock and Gordon",1960,154,71,0.461
"168","KCA",774944,9935,"28.3","28.6","101","103","2","2","10",NA,"2:33","Elliott",1960,155,58,0.377
"169","LAD",2253887,29271,"27.8","25.3","106","105","3","8","19",587100,"2:43","Alston",1960,154,82,0.532
"170","MLN",1497799,19452,"30.0","30.4","92","91","5","10","17",NA,"2:42","Dressen",1960,154,88,0.571
"171","NYY",1627349,21134,"28.2","28.4","95","93","3","14","18",341750,"2:45","Stengel",1960,155,97,0.63
"172","PHI",862205,11197,"26.1","26.8","99","103","1","2","10",NA,"2:33","Sawyer, Cohen and Mauch",1960,154,59,0.383
"173","PIT",1705828,21870,"28.6","29.6","101","100","2","16","15",NA,"2:31","Murtaugh",1960,155,95,0.617
"174","SFG",1795356,23316,"26.8","28.5","94","93","4","6","19",NA,"2:39","Rigney and Sheehan",1960,156,79,0.513
"175","STL",1096632,14242,"28.7","25.7","108","108","2","10","20",NA,"2:36","Hemus",1960,155,86,0.558
"176","WSH",743404,9655,"27.3","26.8","102","103","1","4","11",NA,"2:43","Lavagetto",1960,154,73,0.474
"177","BAL",951089,11599,"27.4","27.0","96","95","4","8","14",NA,"2:32","Richards and Harris",1961,163,95,0.586
"178","BOS",850589,10373,"27.5","27.6","101","103","1","2","12",NA,"2:38","Higgins",1961,163,76,0.469
"179","CHC",673057,8629,"27.2","25.1","100","103","5","5","11",NA,"2:39","Himsl, Craft, Tappe and Klein",1961,156,64,0.416
"180","CHW",1146019,14148,"30.3","31.6","98","97","3","5","18",NA,"2:36","Lopez",1961,163,86,0.531
"181","CIN",1117603,14514,"26.8","26.5","101","100","1","8","16",NA,"2:40","Hutchinson",1961,154,93,0.604
"182","CLE",725547,8957,"28.8","25.0","97","97","0","7","12",NA,"2:33","Dykes and Harder",1961,161,78,0.484
"183","DET",1600710,19521,"27.4","29.1","103","102","2","9","13",NA,"2:38","Scheffing",1961,163,101,0.624
"184","KCA",683817,8548,"27.3","26.8","100","103","0","2","11",NA,"2:33","Gordon and Bauer",1961,162,61,0.379
"185","LAA",603510,7360,"28.2","27.4","110","111","0","2","14",NA,"2:41","Rigney",1961,162,70,0.435
"186","LAD",1804250,23432,"27.8","25.8","107","106","3","7","17",324000,"2:46","Alston",1961,154,89,0.578
"187","MIN",1256723,15515,"27.6","26.4","105","105","1","3","12",NA,"2:41","Lavagetto and Mele",1961,161,70,0.438
"188","MLN",1101441,14304,"28.8","30.8","92","91","4","8","18",NA,"2:45","Dressen and Tebbetts",1961,155,83,0.539
"189","NYY",1747725,21577,"28.4","27.7","95","92","3","14","18",NA,"2:33","Houk",1961,163,109,0.673
"190","PHI",590039,7565,"25.8","27.1","97","100","1","2","8",NA,"2:42","Mauch",1961,155,47,0.305
"191","PIT",1199128,15573,"29.3","30.2","99","98","2","8","19",NA,"2:33","Murtaugh",1961,154,75,0.487
"192","SFG",1390679,18061,"26.8","27.6","96","94","4","9","19",NA,"2:43","Dark",1961,155,85,0.552
"193","STL",855305,10965,"28.4","26.2","109","109","3","6","15",NA,"2:39","Hemus and Keane",1961,155,80,0.519
"194","WSA",597287,7561,"29.3","29.2","94","97","0","2","8",NA,"2:31","Vernon",1961,161,61,0.379
"195","BAL",790254,9637,"27.3","28.0","94","93","5","8","15",220000,"2:31","Hitchcock",1962,162,77,0.475
"196","BOS",733080,9279,"27.7","27.6","103","104","1","2","10",NA,"2:37","Higgins",1962,160,76,0.475
"197","CHC",609802,7528,"25.8","26.6","104","105","4","4","9",NA,"2:42","Tappe, Klein and Metro",1962,162,59,0.364
"198","CHW",1131562,13970,"29.0","29.2","100","99","3","5","16",NA,"2:38","Lopez",1962,162,85,0.525
"199","CIN",982095,12125,"27.2","28.4","104","102","1","3","17",NA,"2:47","Hutchinson",1962,162,98,0.605
"200","CLE",716076,8840,"27.7","26.8","97","97","0","4","11",NA,"2:33","McGaha and Harder",1962,162,80,0.494
"201","DET",1207881,14730,"28.2","29.5","104","103","2","7","12",NA,"2:40","Scheffing",1962,161,85,0.528
"202","HOU",924456,11274,"29.5","28.9","93","95","0","2","11",NA,"2:37","Craft",1962,162,64,0.4
"203","KCA",635675,7848,"27.2","26.7","104","106","0","2","9",NA,"2:35","Bauer",1962,162,72,0.444
"204","LAA",1144063,14124,"27.7","27.3","97","97","0","7","10",NA,"2:37","Rigney",1962,162,86,0.531
"205","LAD",2755184,33195,"27.0","25.7","94","92","3","9","15",293700,"2:47","Alston",1962,165,102,0.618
"206","MIN",1433116,17477,"26.6","26.7","104","103","1","7","14",NA,"2:41","Mele",1962,163,91,0.562
"207","MLN",766921,9468,"28.1","28.9","97","96","4","10","16",NA,"2:41","Tebbetts",1962,162,86,0.531
"208","NYM",922530,11532,"29.1","26.7","101","105","1","2","13",NA,"2:53","Stengel",1962,161,40,0.25
"209","NYY",1493574,18670,"28.1","27.7","98","95","3","13","19",NA,"2:36","Houk",1962,162,96,0.593
"210","PHI",762034,9525,"27.2","25.8","97","98","0","3","8",NA,"2:44","Mauch",1962,161,81,0.503
"211","PIT",1090648,13465,"29.7","30.5","101","100","3","6","16",NA,"2:34","Murtaugh",1962,161,93,0.578
"212","SFG",1592594,19422,"27.5","28.8","99","97","5","9","17",NA,"2:43","Dark",1962,165,103,0.624
"213","STL",953895,11776,"28.2","27.7","111","109","3","6","12",NA,"2:38","Keane",1962,163,84,0.518
"214","WSA",729775,9122,"28.5","27.5","100","102","0","2","8",NA,"2:27","Vernon",1962,162,60,0.373
"215","BAL",774343,9560,"27.4","28.0","96","95","3","3","14",NA,"2:28","Hitchcock",1963,162,86,0.531
"216","BOS",942642,11783,"27.9","26.3","103","104","2","4","12",NA,"2:34","Pesky",1963,161,76,0.472
"217","CHC",979551,12093,"25.8","28.5","106","107","4","2","10",NA,"2:28","Kennedy",1963,162,82,0.506
"218","CHW",1158848,14132,"27.2","28.5","98","96","2","2","15",NA,"2:31","Lopez",1963,162,94,0.58
"219","CIN",858805,10603,"26.4","29.2","103","101","1","2","18",NA,"2:30","Hutchinson",1963,162,86,0.531
"220","CLE",562507,6945,"27.2","28.2","99","100","1","1","19",NA,"2:31","Tebbetts",1963,162,79,0.488
"221","DET",821952,10148,"28.4","28.5","103","103","3","2","15",NA,"2:31","Scheffing and Dressen",1963,162,79,0.488
"222","HOU",719502,8883,"27.0","29.4","94","96","1","1","10",NA,"2:21","Craft",1963,162,66,0.407
"223","KCA",762364,9412,"28.2","27.4","106","108","1","1","9",NA,"2:26","Lopat",1963,162,73,0.451
"224","LAA",821015,10136,"27.4","27.9","94","94","0","3","10",NA,"2:29","Rigney",1963,161,70,0.435
"225","LAD",2538602,31341,"27.4","26.5","92","91","2","4","15",321500,"2:28","Alston",1963,163,99,0.611
"226","MIN",1406652,17366,"27.2","26.7","102","100","1","4","17",NA,"2:34","Mele",1963,161,91,0.565
"227","MLN",773018,9427,"27.6","28.1","99","98","4","3","13",NA,"2:36","Bragan",1963,163,84,0.518
"228","NYM",1080108,13335,"27.4","27.6","100","105","1","1","10",NA,"2:37","Stengel",1963,162,51,0.315
"229","NYY",1308920,16362,"27.9","26.7","99","97","3","6","16",NA,"2:26","Houk",1963,161,104,0.646
"230","PHI",907141,11199,"28.3","27.4","99","98","0","1","12",NA,"2:34","Mauch",1963,162,87,0.537
"231","PIT",783648,9675,"27.6","28.7","100","100","3","2","14",NA,"2:31","Murtaugh",1963,162,74,0.457
"232","SFG",1571306,19399,"28.2","28.8","99","97","5","5","17",NA,"2:35","Dark",1963,162,88,0.543
"233","STL",1170546,14451,"28.8","29.1","110","108","3","5","13",NA,"2:33","Keane",1963,162,93,0.574
"234","WSA",535604,6695,"28.6","28.2","100","103","0","1","11",NA,"2:27","Vernon, Yost and Hodges",1963,162,56,0.346
"235","BAL",1116215,13612,"27.9","27.9","100","99","3","3","16",221000,"2:31","Bauer",1964,163,97,0.599
"236","BOS",883276,10905,"27.5","25.8","105","107","2","3","11",NA,"2:39","Pesky and Herman",1964,162,72,0.444
"237","CHC",751647,9280,"27.3","30.0","104","105","4","3","12",NA,"2:33","Kennedy",1964,162,76,0.469
"238","CHW",1250053,15433,"27.1","29.1","97","95","1","2","14",283250,"2:33","Lopez",1964,162,98,0.605
"239","CIN",862466,10518,"26.1","28.5","103","102","2","2","17",NA,"2:33","Hutchinson and Sisler",1964,163,92,0.568
