"","tm","attendance","attend_per_game","batage","page","bpf","ppf","n_hof","n_aallstars","n_a_ta_s","est_payroll","time","managers","year","g","w","wins_losses"
"482","CAL",1058163,13064,"25.6","26.3","92","93","1","2","12",NA,"2:32","Williams",1975,161,72,0.447
"483","CHC",1034819,12776,"27.0","27.1","104","105","0","1","12",NA,"2:33","Marshall",1975,162,75,0.463
"484","CHW",750802,9269,"26.9","30.8","102","103","1","4","12",NA,"2:32","Tanner",1975,161,75,0.466
"485","CIN",2315603,28588,"28.4","27.6","102","99","3","5","10",NA,"2:28","Anderson",1975,162,108,0.667
"486","CLE",977039,12213,"26.7","27.8","99","99","3","1","14",NA,"2:34","Robinson",1975,159,79,0.497
"487","DET",1058836,13235,"27.6","27.4","103","105","0","1","9",NA,"2:23","Houk",1975,159,57,0.358
"488","HOU",858002,10593,"26.3","26.6","92","93","0","1","8",NA,"2:24","Gomez and Virdon",1975,162,64,0.398
"489","KCR",1151836,14220,"28.1","28.1","103","102","2","2","12",NA,"2:38","McKeon and Herzog",1975,162,91,0.562
"490","LAD",2539349,31350,"27.4","28.2","95","94","2","6","17",NA,"2:27","Alston",1975,162,88,0.543
"491","MIL",1213357,14980,"26.9","25.6","100","101","2","2","10",NA,"2:36","Crandall and Kuenn",1975,162,68,0.42
"492","MIN",737156,8990,"27.5","25.8","102","102","2","1","6",NA,"2:36","Quilici",1975,159,76,0.478
"493","MON",908292,11213,"24.7","26.8","104","106","1","1","8",NA,"2:27","Mauch",1975,162,75,0.463
"494","NYM",1730566,21365,"28.6","27.0","95","95","2","2","12",NA,"2:29","Berra and McMillan",1975,162,82,0.506
"495","NYY",1288048,16513,"28.5","28.7","99","98","1","4","16",1237200,"2:26","Virdon and Martin",1975,160,83,0.519
"496","OAK",1075518,13278,"28.9","29.1","98","96","3","7","18",1242500,"2:30","Dark",1975,162,98,0.605
"497","PHI",1909233,23571,"27.7","27.3","104","103","2","4","16",NA,"2:31","Ozark",1975,162,86,0.531
"498","PIT",1270018,15875,"27.6","27.8","98","97","1","3","14",NA,"2:25","Murtaugh",1975,161,92,0.571
"499","SDP",1281747,15824,"27.5","25.6","94","96","2","1","8",NA,"2:27","McNamara",1975,162,71,0.438
"500","SFG",522919,6456,"25.6","24.9","104","105","0","1","8",NA,"2:26","Westrum",1975,161,80,0.497
"501","STL",1695270,20674,"28.2","26.6","104","104","2","2","13",NA,"2:21","Schoendienst",1975,163,82,0.506
"502","TEX",1127924,14099,"26.6","29.9","99","99","2","2","18",NA,"2:41","Martin and Lucchesi",1975,162,79,0.488
"503","ATL",818179,10101,"27.8","29.1","106","108","1","2","13",NA,"2:25","Bristol",1976,162,70,0.432
"504","BAL",1058609,13069,"29.4","28.8","94","93","3","2","21",NA,"2:30","Weaver",1976,162,88,0.543
"505","BOS",1895846,23406,"27.7","29.5","113","112","4","4","13",NA,"2:33","Johnson and Zimmer",1976,162,83,0.512
"506","CAL",1006774,12429,"26.7","26.2","93","94","1","1","13",NA,"2:34","Williams and Sherry",1976,162,76,0.469
"507","CHC",1026217,12669,"27.2","27.8","108","109","1","1","13",NA,"2:28","Marshall",1976,162,75,0.463
"508","CHW",914945,11437,"26.2","25.8","101","102","1","1","15",NA,"2:33","Richards",1976,161,64,0.398
"509","CIN",2629708,32466,"29.1","27.2","102","100","3","7","11",NA,"2:31","Anderson",1976,162,102,0.63
"510","CLE",948776,12010,"27.4","28.4","98","98","2","1","13",NA,"2:37","Robinson",1976,159,81,0.509
"511","DET",1467020,18338,"28.0","26.7","103","105","0","3","11",NA,"2:21","Houk",1976,161,74,0.46
"512","HOU",886146,10807,"26.6","25.6","91","91","0","2","10",NA,"2:26","Virdon",1976,162,80,0.494
"513","KCR",1680265,20744,"27.1","27.6","102","100","1","4","14",NA,"2:41","Herzog",1976,162,90,0.556
"514","LAD",2386301,29461,"27.8","28.3","98","96","1","4","17",NA,"2:24","Alston and Lasorda",1976,162,92,0.568
"515","MIL",1012164,12496,"27.0","26.0","98","99","2","2","10",NA,"2:30","Grammas",1976,161,66,0.41
"516","MIN",715394,8832,"26.6","26.6","103","102","2","2","9",NA,"2:38","Mauch",1976,162,85,0.525
"517","MON",646704,8084,"25.1","27.4","105","106","2","1","9",NA,"2:25","Kuehl and Fox",1976,162,55,0.34
"518","NYM",1468754,17912,"28.6","29.4","93","93","2","3","12",NA,"2:25","Frazier",1976,162,86,0.531
"519","NYY",2012434,25155,"28.3","29.2","99","98","1","6","18",NA,"2:30","Martin",1976,159,97,0.61
"520","OAK",780593,9637,"29.5","27.9","95","95","3","2","16",NA,"2:37","Tanner",1976,161,87,0.54
"521","PHI",2480150,30619,"28.8","29.8","103","101","2","5","14",NA,"2:19","Ozark",1976,162,101,0.624
"522","PIT",1025945,12666,"28.5","27.6","100","99","1","1","12",NA,"2:26","Murtaugh",1976,162,92,0.568
"523","SDP",1458478,18231,"28.4","26.2","92","93","2","1","5",NA,"2:17","McNamara",1976,162,73,0.451
"524","SFG",626868,7739,"26.2","25.8","102","103","0","1","11",NA,"2:23","Rigney",1976,162,74,0.457
"525","STL",1207079,14902,"27.2","25.1","101","101","1","1","10",NA,"2:25","Schoendienst",1976,162,72,0.444
"526","TEX",1164982,14382,"26.5","29.0","102","102","2","1","14",NA,"2:43","Lucchesi",1976,162,76,0.469
"527","ATL",872464,10771,"25.8","28.4","112","114","1","1","13",NA,"2:35","Bristol, Turner and Benson",1977,162,61,0.377
"528","BAL",1195769,14763,"27.8","27.9","94","93","3","2","15",1052000,"2:37","Weaver",1977,161,97,0.603
"529","BOS",2074549,25932,"28.7","29.4","113","111","4","7","16",1565000,"2:38","Zimmer",1977,161,97,0.603
"530","CAL",1432633,17687,"26.5","27.3","96","96","1","2","19",1746667,"2:34","Sherry and Garcia",1977,162,74,0.457
"531","CHC",1439834,17776,"27.7","26.9","111","112","1","4","12",925000,"2:33","Franks",1977,162,81,0.5
"532","CHW",1657135,20458,"26.9","27.3","100","101","0","1","11",814000,"2:37","Lemon",1977,162,90,0.556
"533","CIN",2519670,31107,"29.5","29.1","102","100","3","7","15",1863534,"2:32","Anderson",1977,162,88,0.543
"534","CLE",900365,11116,"27.7","27.9","96","97","1","3","14",1285333,"2:39","Robinson and Torborg",1977,161,71,0.441
"535","DET",1359856,16788,"27.3","25.8","105","105","0","2","12",943500,"2:28","Houk",1977,162,74,0.457
"536","HOU",1109560,13698,"27.5","24.9","91","91","0","1","11",841500,"2:28","Virdon",1977,162,81,0.5
"537","KCR",1852603,22872,"27.6","28.4","102","100","1","1","13",NA,"2:37","Herzog",1977,162,102,0.63
"538","LAD",2955087,36483,"29.2","28.5","99","98","1","4","18",NA,"2:31","Lasorda",1977,162,98,0.605
"539","MIL",1114938,13765,"27.1","24.1","100","100","1","2","9",868700,"2:34","Grammas",1977,162,67,0.414
"540","MIN",1162727,14534,"26.7","27.0","99","98","1","3","5",624200,"2:41","Mauch",1977,161,84,0.522
"541","MON",1433757,17701,"26.4","26.9","96","97","3","1","10",NA,"2:33","Williams",1977,162,75,0.463
"542","NYM",1066825,13504,"27.0","27.2","94","95","2","1","13",1153000,"2:28","Frazier and Torre",1977,162,64,0.395
"543","NYY",2103092,25964,"29.1","28.6","99","97","2","5","18",3241166,"2:30","Martin",1977,162,100,0.617
"544","OAK",495599,6119,"27.3","27.1","97","98","0","2","11",814000,"2:35","McKeon and Winkles",1977,161,63,0.391
"545","PHI",2700070,33334,"29.4","29.7","105","103","2","3","13",NA,"2:21","Ozark",1977,162,101,0.624
"546","PIT",1237349,15276,"28.1","27.3","102","101","2","3","13",1068800,"2:32","Tanner",1977,162,96,0.593
"547","SDP",1376269,16991,"25.7","26.0","89","91","2","1","6",1173667,"2:32","McNamara, Skinner and Dark",1977,162,69,0.426
"548","SEA",1338511,16525,"26.4","27.9","99","101","0","1","4",NA,"2:34","Johnson",1977,162,64,0.395
"549","SFG",700056,8643,"26.7","27.0","99","100","1","1","10",882000,"2:29","Altobelli",1977,162,75,0.463
"550","STL",1659287,19991,"26.3","25.7","99","99","1","2","11",NA,"2:26","Rapp",1977,162,83,0.512
"551","TEX",1250722,15441,"28.6","30.0","101","101","2","1","18",1104000,"2:43","Lucchesi, Stanky, Ryan and Hunter",1977,162,94,0.58
"552","TOR",1701052,21263,"27.0","25.7","100","103","0","1","7",326500,"2:29","Hartsfield",1977,161,54,0.335
"553","ATL",904494,11167,"25.6","28.2","112","114","1","3","12",NA,"2:30","Cox",1978,162,69,0.426
"554","BAL",1051724,12984,"28.0","26.8","94","93","2","3","13",NA,"2:34","Weaver",1978,161,90,0.559
"555","BOS",2320643,28301,"28.5","29.2","112","110","4","7","14",NA,"2:44","Zimmer",1978,163,99,0.607
"556","CAL",1755386,21671,"27.8","26.6","96","96","1","1","13",3216667,"2:38","Garcia and Fregosi",1978,162,87,0.537
"557","CHC",1525311,18601,"27.7","27.5","111","112","1","1","13",NA,"2:35","Franks",1978,162,79,0.488
"558","CHW",1491100,18639,"27.3","28.5","101","101","0","1","9",NA,"2:29","Lemon and Doby",1978,161,71,0.441
"559","CIN",2532497,31656,"29.9","28.3","100","99","3","6","11",NA,"2:32","Anderson",1978,161,92,0.571
"560","CLE",800584,10264,"26.7","27.1","99","99","0","1","9",NA,"2:33","Torborg",1978,159,69,0.434
"561","DET",1714893,21172,"26.2","27.1","103","102","0","1","12",NA,"2:31","Houk",1978,162,86,0.531
"562","HOU",1126145,13903,"27.1","26.6","92","92","0","1","12",NA,"2:29","Virdon",1978,162,74,0.457
"563","KCR",2255493,27846,"27.3","28.7","102","101","1","4","11",NA,"2:32","Herzog",1978,162,92,0.568
"564","LAD",3347845,41331,"30.5","28.7","99","98","1","6","18",3071500,"2:29","Lasorda",1978,162,95,0.586
"565","MIL",1601406,19770,"27.3","25.1","100","100","2","3","13",NA,"2:27","Bamberger",1978,162,93,0.574
"566","MIN",787878,9727,"27.0","26.5","102","102","1","1","4",NA,"2:36","Mauch",1978,162,73,0.451
"567","MON",1427007,17838,"27.2","28.9","98","98","3","2","14",NA,"2:29","Williams",1978,162,76,0.469
"568","NYM",1007328,12592,"27.1","27.5","96","97","0","1","7",NA,"2:32","Torre",1978,162,66,0.407
"569","NYY",2335871,28838,"29.8","28.3","97","96","3","5","19",2956666,"2:29","Martin, Howser and Lemon",1978,163,100,0.614
"570","OAK",526999,6587,"26.3","25.3","94","96","0","1","9",NA,"2:28","Winkles and McKeon",1978,162,69,0.426
"571","PHI",2583389,31505,"29.9","30.3","101","100","2","3","15",NA,"2:21","Ozark",1978,162,90,0.556
"572","PIT",964106,11903,"29.1","28.3","105","104","2","1","14",NA,"2:37","Tanner",1978,161,88,0.547
"573","SDP",1670107,20619,"26.0","28.4","91","92","4","2","8",NA,"2:30","Craig",1978,162,84,0.518
"574","SEA",877440,10833,"27.0","26.9","99","101","0","1","7",NA,"2:30","Johnson",1978,160,56,0.35
"575","SFG",1740477,21487,"27.2","27.8","96","96","1","2","10",NA,"2:25","Altobelli",1978,162,89,0.549
"576","STL",1278215,15780,"26.9","25.3","99","99","1","1","11",NA,"2:23","Rapp, Krol and Boyer",1978,162,69,0.426
"577","TEX",1447963,17658,"28.9","29.0","100","99","1","2","15",NA,"2:31","Hunter and Corrales",1978,162,87,0.537
"578","TOR",1562585,19291,"27.0","25.9","101","103","0","1","8",NA,"2:28","Hartsfield",1978,161,59,0.366
"579","ATL",769465,9740,"26.4","28.9","107","108","1","1","8",NA,"2:31","Cox",1979,160,66,0.412
"580","BAL",1681009,21279,"28.8","27.5","97","95","2","2","14",NA,"2:41","Weaver",1979,159,102,0.641
"581","BOS",2353114,29414,"29.0","28.4","106","105","4","5","13",3736560,"2:36","Zimmer",1979,160,91,0.569
"582","CAL",2523575,31155,"28.3","27.5","96","96","2","6","15",NA,"2:42","Fregosi",1979,162,88,0.543
"583","CHC",1648587,20353,"28.5","27.7","110","111","1","2","11",NA,"2:35","Franks and Amalfitano",1979,162,80,0.494
"584","CHW",1280702,16211,"27.1","25.5","100","101","0","1","9",NA,"2:36","Kessinger and La Russa",1979,160,73,0.456
"585","CIN",2356933,29462,"29.4","28.5","101","101","3","5","11",NA,"2:35","McNamara",1979,161,90,0.559
"586","CLE",1011644,12489,"28.1","26.7","100","101","0","1","8",NA,"2:42","Torborg and Garcia",1979,161,81,0.503
"587","DET",1630929,20387,"26.6","26.3","103","103","0","1","14",NA,"2:36","Moss, Tracewski and Anderson",1979,161,85,0.528
"588","HOU",1900312,23461,"27.2","28.3","94","94","0","4","11",NA,"2:35","Virdon",1979,162,89,0.549
"589","KCR",2261845,27924,"27.9","28.9","102","101","1","3","12",NA,"2:41","Herzog",1979,162,85,0.525
"590","LAD",2860954,35320,"30.4","28.3","99","97","1","3","18",NA,"2:35","Lasorda",1979,162,79,0.488
"591","MIL",1918343,23683,"27.5","26.6","100","99","2","1","12",NA,"2:38","Bamberger",1979,161,95,0.59
"592","MIN",1070521,13216,"26.2","29.5","104","104","0","1","7",NA,"2:33","Mauch",1979,162,82,0.506
"593","MON",2102173,25953,"27.3","28.6","99","98","3","3","13",NA,"2:35","Williams",1979,160,95,0.594
"594","NYM",788905,9621,"27.6","26.5","95","97","0","2","11",NA,"2:37","Torre",1979,163,63,0.389
"595","NYY",2537765,31330,"30.3","31.0","98","96","3","4","22",3558457,"2:30","Lemon and Martin",1979,160,89,0.556
"596","OAK",306763,3787,"26.2","25.3","94","96","1","1","8",NA,"2:34","Marshall",1979,162,54,0.333
"597","PHI",2775011,34259,"30.7","28.3","103","102","2","5","16",NA,"2:28","Ozark and Green",1979,163,84,0.518
"598","PIT",1435454,17722,"29.4","29.7","105","104","2","1","15",NA,"2:45","Tanner",1979,163,98,0.605
"599","SDP",1456967,17987,"27.5","29.1","93","94","4","2","8",NA,"2:39","Craig",1979,161,68,0.422
"600","SEA",844447,10425,"28.5","25.5","102","104","0","1","8",NA,"2:33","Johnson",1979,162,67,0.414
"601","SFG",1456402,17980,"28.1","28.3","93","94","1","1","12",NA,"2:36","Altobelli and Bristol",1979,162,71,0.438
"602","STL",1627256,19845,"27.4","26.4","102","102","1","4","11",NA,"2:31","Boyer",1979,163,86,0.531
"603","TEX",1519671,18761,"27.9","29.3","98","98","1","1","16",NA,"2:30","Corrales",1979,162,83,0.512
"604","TOR",1431651,17675,"26.7","25.5","100","102","0","1","7",NA,"2:25","Hartsfield",1979,162,53,0.327
"605","ATL",1048411,13105,"26.8","29.6","103","103","1","1","11",NA,"2:29","Cox",1980,161,81,0.503
"606","BAL",1797438,22191,"29.7","28.8","99","98","2","2","14",NA,"2:43","Weaver",1980,162,100,0.617
"607","BOS",1956092,24149,"29.6","29.5","106","105","5","4","15",NA,"2:44","Zimmer and Pesky",1980,160,83,0.519
"608","CAL",2297327,28362,"29.0","27.0","97","97","1","2","16",3445500,"2:43","Fregosi",1980,160,65,0.406
"609","CHC",1206776,14898,"28.9","28.0","107","109","1","2","9",NA,"2:41","Gomez and Amalfitano",1980,162,64,0.395
"610","CHW",1200365,14819,"26.6","24.7","99","100","0","1","7",NA,"2:37","La Russa",1980,162,70,0.438
"611","CIN",2022450,24664,"28.6","26.0","101","100","2","4","10",NA,"2:37","McNamara",1980,163,89,0.549
"612","CLE",1033827,13086,"27.7","26.8","101","102","0","1","7",NA,"2:44","Garcia",1980,160,79,0.494
"613","DET",1785293,21772,"26.4","25.6","102","102","0","2","11",NA,"2:46","Anderson",1980,163,84,0.518
"614","HOU",2278217,28126,"28.7","30.1","92","91","2","2","13",NA,"2:43","Virdon",1980,163,93,0.571
"615","KCR",2288714,28256,"27.7","29.1","100","99","1","3","12",NA,"2:41","Frey",1980,162,97,0.599
"616","LAD",3249287,39625,"30.4","28.2","99","98","1","6","19",NA,"2:40","Lasorda",1980,163,92,0.564
"617","MIL",1857408,22651,"28.0","27.3","97","96","2","4","11",NA,"2:38","Rodgers and Bamberger",1980,162,86,0.531
"618","MIN",769206,9615,"26.6","28.7","107","108","0","1","7",NA,"2:35","Mauch and Goryl",1980,161,77,0.478
"619","MON",2208175,27602,"27.1","28.9","100","99","2","1","15",NA,"2:41","Williams",1980,162,90,0.556
"620","NYM",1192073,14537,"27.4","26.5","97","98","0","1","9",NA,"2:39","Torre",1980,162,67,0.414
"621","NYY",2627417,32437,"30.0","31.4","98","97","3","6","17",4986791,"2:40","Howser",1980,162,103,0.636
"622","OAK",842259,10398,"26.5","25.6","92","93","1","1","6",NA,"2:44","Martin",1980,162,83,0.512
"623","PHI",2651650,32736,"30.6","28.6","105","105","2","3","17",NA,"2:32","Green",1980,162,91,0.562
"624","PIT",1646757,20330,"29.6","29.9","103","102","2","4","15",NA,"2:38","Tanner",1980,162,83,0.512
"625","SDP",1139026,14062,"28.1","28.7","94","95","3","1","9",NA,"2:43","Coleman",1980,163,73,0.451
"626","SEA",836204,10324,"28.5","26.5","101","102","0","1","6",NA,"2:31","Johnson and Wills",1980,163,59,0.364
"627","SFG",1096115,13532,"28.2","27.6","97","98","1","2","10",NA,"2:36","Bristol",1980,161,75,0.466
"628","STL",1385147,17101,"27.3","27.8","104","103","0","3","13",NA,"2:26","Boyer, Krol, Herzog and Schoendienst",1980,162,74,0.457
"629","TEX",1198175,14977,"30.0","31.0","96","96","2","2","14",NA,"2:39","Corrales",1980,163,76,0.472
"630","TOR",1400327,17288,"25.9","26.0","105","107","0","1","10",NA,"2:34","Mattick",1980,162,67,0.414
"631","ATL",535418,10708,"26.5","31.5","103","103","2","1","15",5571200,"2:37","Cox",1981,107,50,0.472
"632","BAL",1024247,18623,"30.2","29.3","100","99","3","3","13",NA,"2:42","Weaver",1981,105,59,0.562
"633","BOS",1060379,20007,"29.2","27.9","106","106","4","1","15",NA,"2:40","Houk",1981,108,59,0.546
"634","CAL",1441545,26695,"30.5","30.0","99","99","1","4","13",3828834,"2:40","Fregosi and Mauch",1981,110,51,0.464
"635","CHC",565637,9752,"28.2","28.1","104","106","0","1","14",NA,"2:42","Amalfitano",1981,106,38,0.369
"636","CHW",946651,19319,"28.4","25.4","97","97","1","2","11",NA,"2:54","La Russa",1981,106,54,0.509
"637","CIN",1093730,20254,"29.3","26.8","102","102","2","3","9",NA,"2:39","McNamara",1981,108,66,0.611
"638","CLE",661395,12248,"28.8","28.3","99","100","1","2","10",2843167,"2:40","Garcia",1981,103,52,0.505
"639","DET",1149144,20894,"27.1","26.2","103","103","0","1","7",NA,"2:37","Anderson",1981,109,60,0.55
"640","HOU",1321282,25907,"28.9","31.1","95","94","2","2","14",NA,"2:35","Virdon",1981,110,61,0.554
"641","KCR",1279403,27221,"29.2","28.8","98","98","1","2","12",NA,"2:39","Frey and Howser",1981,103,50,0.485
"642","LAD",2381292,42523,"29.3","26.2","97","96","0","6","20",NA,"2:41","Lasorda",1981,110,63,0.573
"643","MIL",874292,17843,"28.9","29.1","95","94","3","3","13",NA,"2:36","Rodgers",1981,109,62,0.569
"644","MIN",469090,7690,"26.8","27.2","106","108","0","1","9",NA,"2:28","Goryl and Gardner",1981,110,41,0.376
"645","MON",1534564,27403,"26.9","28.9","101","100","2","3","15",NA,"2:36","Williams and Fanning",1981,108,60,0.556
"646","NYM",704244,13543,"28.3","27.5","98","100","0","1","13",3243333,"2:33","Torre",1981,105,41,0.398
"647","NYY",1614353,31654,"30.7","30.2","98","97","3","6","17",6529791,"2:35","Michael and Lemon",1981,107,59,0.551
"648","OAK",1304052,23287,"27.7","26.5","94","94","1","2","7",NA,"2:51","Martin",1981,109,64,0.587
"649","PHI",1638752,29795,"31.3","30.3","105","104","3","5","16",NA,"2:31","Green",1981,107,59,0.551
"650","PIT",541789,10623,"29.1","29.9","104","104","1","4","17",NA,"2:43","Tanner",1981,103,46,0.451
"651","SDP",519161,9439,"25.9","27.6","94","94","1","2","5",NA,"2:38","Howard",1981,110,41,0.373
"652","SEA",636276,11163,"28.6","26.8","104","106","0","1","7",NA,"2:36","Wills and Lachemann",1981,110,44,0.404
"653","SFG",632274,11930,"29.7","29.1","98","98","1","1","12",NA,"2:46","Robinson",1981,111,56,0.504
"654","STL",1010247,19061,"27.5","27.9","103","102","1","1","10",4373919,"2:32","Herzog",1981,103,59,0.578
"655","TEX",850076,15180,"29.8","29.5","94","94","1","2","10",NA,"2:29","Zimmer",1981,105,57,0.543
"656","TOR",755083,14247,"25.8","25.8","106","107","0","1","9",NA,"2:36","Mattick",1981,106,37,0.349
"657","ATL",1801985,22247,"26.9","29.4","104","104","1","3","15",3565166,"2:40","Torre",1982,162,89,0.549
"658","BAL",1613031,19671,"29.6","29.5","100","99","3","1","12",NA,"2:43","Weaver",1982,163,94,0.58
"659","BOS",1950124,24076,"28.9","28.2","106","106","5","3","13",NA,"2:35","Houk",1982,162,89,0.549
"660","CAL",2807360,34659,"32.3","31.8","100","99","2","4","15",5812667,"2:43","Mauch",1982,162,93,0.574
"661","CHC",1249278,15423,"28.7","29.9","102","103","2","1","11",NA,"2:35","Elia",1982,162,73,0.451
"662","CHW",1567787,19597,"28.8","27.5","100","99","1","1","14",NA,"2:50","La Russa",1982,162,87,0.537
"663","CIN",1326528,16377,"28.4","27.2","102","102","2","3","7",NA,"2:35","McNamara and Nixon",1982,162,61,0.377
"664","CLE",1044021,12889,"28.7","27.4","100","101","1","2","11",3002500,"2:47","Garcia",1982,162,78,0.481
"665","DET",1636058,20198,"27.1","26.7","100","99","0","1","9",NA,"2:41","Anderson",1982,162,83,0.512
"666","HOU",1558555,19241,"29.4","31.8","92","92","2","1","14",NA,"2:35","Virdon and Lillis",1982,162,77,0.475
"667","KCR",2284464,28203,"30.4","30.9","100","100","1","5","10",NA,"2:42","Howser",1982,162,90,0.556
"668","LAD",3608881,44554,"29.2","26.8","98","97","0","4","18",NA,"2:46","Lasorda",1982,162,88,0.543
"669","MIL",1978896,24133,"29.5","30.3","94","93","4","4","14",NA,"2:43","Rodgers and Kuenn",1982,163,95,0.586
"670","MIN",921186,11373,"25.3","25.2","103","104","0","1","11",NA,"2:34","Gardner",1982,162,60,0.37
"671","MON",2318292,28621,"27.9","27.9","102","101","2","5","13",4960000,"2:40","Fanning",1982,162,86,0.531
"672","NYM",1323036,16334,"28.7","27.5","99","101","0","1","11",4700833,"2:39","Bamberger",1982,162,65,0.401
"673","NYY",2041219,25200,"30.3","29.0","98","97","2","3","24",6627167,"2:43","Lemon, Michael and King",1982,162,79,0.488
"674","OAK",1735489,21426,"29.4","26.9","94","94","1","1","10",NA,"2:52","Martin",1982,162,68,0.42
"675","PHI",2376394,29338,"31.0","31.9","103","102","2","4","16",5746666,"2:31","Corrales",1982,162,89,0.549
"676","PIT",1024106,12643,"28.7","28.4","104","104","1","2","13",NA,"2:39","Tanner",1982,162,84,0.518
"677","SDP",1607516,19846,"26.6","27.4","96","96","1","1","8",NA,"2:39","Williams",1982,162,81,0.5
"678","SEA",1070404,13215,"27.9","27.3","103","104","1","1","7",NA,"2:47","Lachemann",1982,162,76,0.469
"679","SFG",1200948,14827,"29.2","27.4","99","99","1","1","12",NA,"2:49","Robinson",1982,162,87,0.537
"680","STL",2111906,26073,"27.8","28.7","101","101","2","2","11",4448333,"2:35","Herzog",1982,162,92,0.568
"681","TEX",1154432,14252,"28.3","29.0","94","95","0","1","12",NA,"2:32","Zimmer and Johnson",1982,162,64,0.395
"682","TOR",1275978,15753,"26.5","25.6","109","110","0","1","9",NA,"2:32","Cox",1982,162,78,0.481
"683","ATL",2119935,26499,"27.7","29.2","108","107","1","4","18",5448233,"2:40","Torre",1983,162,88,0.543
"684","BAL",2042071,25211,"29.7","28.2","98","97","3","3","10",NA,"2:40","Altobelli",1983,162,98,0.605
"685","BOS",1782285,22004,"29.1","26.8","107","107","4","3","12",NA,"2:36","Houk",1983,162,78,0.481
"686","CAL",2555016,31543,"31.4","32.5","99","99","2","5","14",5330500,"2:41","McNamara",1983,162,70,0.432
"687","CHC",1479717,18268,"29.1","29.5","104","104","2","2","14",NA,"2:39","Elia and Fox",1983,162,71,0.438
"688","CHW",2132821,26331,"28.2","28.7","104","103","1","1","12",NA,"2:49","La Russa",1983,162,99,0.611
"689","CIN",1190419,14697,"27.9","26.5","103","104","1","2","6",NA,"2:37","Nixon",1983,162,74,0.457
"690","CLE",768941,9493,"29.8","27.7","104","105","1","2","13",4910000,"2:49","Ferraro and Corrales",1983,162,70,0.432
"691","DET",1829636,22588,"27.8","28.1","97","96","0","3","10",NA,"2:43","Anderson",1983,162,92,0.568
"692","HOU",1351962,16487,"29.1","30.4","93","93","1","2","15",NA,"2:37","Lillis",1983,162,85,0.525
"693","KCR",1963875,23950,"30.3","32.2","100","100","2","3","10",NA,"2:41","Howser",1983,163,79,0.488
"694","LAD",3510313,43879,"28.1","27.1","99","99","0","3","18",3751000,"2:42","Lasorda",1983,163,91,0.562
"695","MIL",2397131,29594,"29.8","30.6","93","92","3","4","10",NA,"2:45","Kuenn",1983,162,87,0.537
"696","MIN",858939,10604,"26.0","26.3","103","104","0","1","9",NA,"2:35","Gardner",1983,162,70,0.432
"697","MON",2320651,28650,"28.4","27.8","99","98","2","5","12",NA,"2:40","Virdon",1983,163,82,0.506
"698","NYM",1112774,13570,"27.7","29.2","99","100","1","1","9",8485079,"2:36","Bamberger and Howard",1983,162,68,0.42
"699","NYY",2257976,27876,"30.6","28.5","96","95","2","2","22",14257815,"2:43","Martin",1983,162,91,0.562
"700","OAK",1294941,15987,"28.1","26.9","93","94","1","1","9",NA,"2:50","Boros",1983,162,74,0.457
"701","PHI",2128339,25955,"31.9","30.3","99","99","4","1","19",NA,"2:38","Corrales and Owens",1983,163,90,0.556
"702","PIT",1225916,15135,"28.6","28.5","103","102","0","1","12",NA,"2:39","Tanner",1983,162,84,0.518
"703","SDP",1539815,18778,"27.4","27.4","97","97","1","2","9",5830333,"2:38","Williams",1983,163,81,0.5
"704","SEA",813537,10044,"26.6","27.2","104","105","1","1","8",NA,"2:40","Lachemann and Crandall",1983,162,60,0.37
"705","SFG",1251530,15451,"28.0","27.8","97","98","0","3","12",NA,"2:41","Robinson",1983,162,79,0.488
"706","STL",2317914,28616,"27.5","27.7","101","100","2","3","11",NA,"2:38","Herzog",1983,162,79,0.488
"707","TEX",1363469,16833,"28.7","29.2","97","98","0","1","11",NA,"2:38","Rader",1983,163,77,0.475
"708","TOR",1930415,23832,"27.7","26.5","106","106","0","1","12",NA,"2:38","Cox",1983,162,89,0.549
"709","ATL",1724892,21295,"27.8","28.4","107","107","0","3","13",NA,"2:35","Torre",1984,162,80,0.494
"710","BAL",2045784,25257,"29.9","28.6","97","97","3","3","11",NA,"2:40","Altobelli",1984,162,85,0.525
"711","BOS",1661618,20514,"29.0","25.8","105","104","3","2","14",NA,"2:40","Houk",1984,162,86,0.531
"712","CAL",2402997,29667,"31.7","31.0","99","100","2","2","13",NA,"2:37","McNamara",1984,162,81,0.5
"713","CHC",2107655,26346,"29.4","28.7","108","108","2","2","14",NA,"2:39","Frey",1984,161,96,0.596
"714","CHW",2136988,26383,"28.7","29.7","105","104","2","1","13",NA,"2:44","La Russa",1984,162,74,0.457
"715","CIN",1275887,15752,"29.3","26.2","104","105","1","1","11",NA,"2:42","Rapp and Rose",1984,162,70,0.432
"716","CLE",734079,9063,"27.4","27.2","102","103","1","1","10",4685000,"2:47","Corrales",1984,163,75,0.463
"717","DET",2704794,32985,"28.6","29.7","99","98","0","6","13",NA,"2:48","Anderson",1984,162,104,0.642
"718","HOU",1229862,15183,"30.1","31.3","92","92","1","1","17",NA,"2:35","Lillis",1984,162,80,0.494
"719","KCR",1810018,22346,"29.4","26.9","100","100","1","2","11",NA,"2:36","Howser",1984,162,84,0.518
"720","LAD",3134824,38702,"26.8","27.5","98","98","0","2","14",NA,"2:45","Lasorda",1984,162,79,0.488
